date,indexation,maturity,value
Oct 2013,nominal,1,1.0146032937
Oct 2013,real,10,1.5994318196
Oct 2013,nominal,10,NA
Oct 2013,real,1,-0.340626145
Nov 2013,nominal,1,0.9019596595
Nov 2013,real,10,1.4482957635
Nov 2013,nominal,10,NA
Nov 2013,real,1,-0.4422079796
Dec 2013,nominal,1,0.8972856986
Dec 2013,real,10,1.434064677
Dec 2013,nominal,10,NA
Dec 2013,real,1,-0.8635042478
Jan 2014,nominal,1,0.9268584957
Jan 2014,real,10,1.471258225
Jan 2014,nominal,10,3.6612648529
Jan 2014,real,1,-0.8268164155
Feb 2014,nominal,1,0.9032961586
Feb 2014,real,10,1.3457041605
Feb 2014,nominal,10,3.631176912
Feb 2014,real,1,-0.9712869212
Mar 2014,nominal,1,0.6500818056
Mar 2014,real,10,1.1294821462
Mar 2014,nominal,10,3.398364179
Mar 2014,real,1,-1.0377910698
Apr 2014,nominal,1,0.6730096104
Apr 2014,real,10,1.1415636061
Apr 2014,nominal,10,3.3941619922
Apr 2014,real,1,-0.7810502054
May 2014,nominal,1,0.6038340004
May 2014,real,10,0.9757959134
May 2014,nominal,10,3.0915512853
May 2014,real,1,-0.4200631667
Jun 2014,nominal,1,0.5952140618
Jun 2014,real,10,0.78637311
Jun 2014,nominal,10,2.8853009915
Jun 2014,real,1,-0.2117310814
Jul 2014,nominal,1,0.6144551195
Jul 2014,real,10,0.7252429187
Jul 2014,nominal,10,2.8168913943
Jul 2014,real,1,0.1780948345
Aug 2014,nominal,1,0.4640523775
Aug 2014,real,10,0.6550149317
Aug 2014,nominal,10,2.630317054
Aug 2014,real,1,0.4823991932
Sep 2014,nominal,1,0.2708655003
Sep 2014,real,10,0.5876636109
Sep 2014,nominal,10,2.4523730675
Sep 2014,real,1,0.1179373452
Oct 2014,nominal,1,0.1965336423
Oct 2014,real,10,0.4585827286
Oct 2014,nominal,10,NA
Oct 2014,real,1,0.6462974487
Nov 2014,nominal,1,0.2109966157
Nov 2014,real,10,0.4845847818
Nov 2014,nominal,10,NA
Nov 2014,real,1,NA
Dec 2014,nominal,1,0.3079383442
Dec 2014,real,10,0.606815519
Dec 2014,nominal,10,NA
Dec 2014,real,1,NA
Jan 2015,nominal,1,0.2372929472
Jan 2015,real,10,0.2949992014
Jan 2015,nominal,10,NA
Jan 2015,real,1,NA
Feb 2015,nominal,1,0.1670410095
Feb 2015,real,10,NA
Feb 2015,nominal,10,NA
Feb 2015,real,1,NA
Mar 2015,nominal,1,0.1115389523
Mar 2015,real,10,NA
Mar 2015,nominal,10,NA
Mar 2015,real,1,NA
Apr 2015,nominal,1,0.08139045
Apr 2015,real,10,NA
Apr 2015,nominal,10,NA
Apr 2015,real,1,NA
May 2015,nominal,1,0.0848734484
May 2015,real,10,NA
May 2015,nominal,10,1.9609980631
May 2015,real,1,-1.1938937055
Jun 2015,nominal,1,0.1189176187
Jun 2015,real,10,NA
Jun 2015,nominal,10,2.4222794159
Jun 2015,real,1,-1.0383698787
Jul 2015,nominal,1,0.129200807
Jul 2015,real,10,0.7906772021
Jul 2015,nominal,10,2.454905211
Jul 2015,real,1,-0.8029215459
Aug 2015,nominal,1,0.1081844004
Aug 2015,real,10,0.7180555512
Aug 2015,nominal,10,2.2498317905
Aug 2015,real,1,-0.383863196
Sep 2015,nominal,1,0.1197754205
Sep 2015,real,10,0.7361449549
Sep 2015,nominal,10,2.2743917267
Sep 2015,real,1,-0.3671506513
Oct 2015,nominal,1,0.1245208188
Oct 2015,real,10,0.5697447218
Oct 2015,nominal,10,2.0903433721
Oct 2015,real,1,-0.3758502308
Nov 2015,nominal,1,0.1695873877
Nov 2015,real,10,0.631971236
Nov 2015,nominal,10,2.1292270405
Nov 2015,real,1,-0.3649277242
Dec 2015,nominal,1,0.2170395592
Dec 2015,real,10,0.6430202549
Dec 2015,nominal,10,2.1375189748
Dec 2015,real,1,-0.1756121233
Jan 2016,nominal,1,0.1816813541
Jan 2016,real,10,0.5399180554
Jan 2016,nominal,10,1.9777685319
Jan 2016,real,1,-0.1864127197
Feb 2016,nominal,1,0.1087052257
Feb 2016,real,10,0.4038835177
Feb 2016,nominal,10,1.8103992829
Feb 2016,real,1,-0.3475764867
Mar 2016,nominal,1,0.1066555429
Mar 2016,real,10,0.3326747122
Mar 2016,nominal,10,1.77462269
Mar 2016,real,1,-0.6052435185
Apr 2016,nominal,1,0.1094291689
Apr 2016,real,10,0.2844190176
Apr 2016,nominal,10,NA
Apr 2016,real,1,-0.3214016679
May 2016,nominal,1,0.1324127955
May 2016,real,10,0.214413903
May 2016,nominal,10,1.8212910919
May 2016,real,1,-0.2035965745
Jun 2016,nominal,1,0.1125631804
Jun 2016,real,10,NA
Jun 2016,nominal,10,1.7596871205
Jun 2016,real,1,-0.0030075951
Jul 2016,nominal,1,0.1074789487
Jul 2016,real,10,NA
Jul 2016,nominal,10,1.6864643305
Jul 2016,real,1,0.1430217012
Aug 2016,nominal,1,0.1284345508
Aug 2016,real,10,NA
Aug 2016,nominal,10,1.7373118041
Aug 2016,real,1,0.2525449216
Sep 2016,nominal,1,0.1446046129
Sep 2016,real,10,NA
Sep 2016,nominal,10,1.7706256981
Sep 2016,real,1,-0.036364481
Oct 2016,nominal,1,0.1595030538
Oct 2016,real,10,NA
Oct 2016,nominal,10,1.8377498354
Oct 2016,real,1,0.1672093632
Nov 2016,nominal,1,0.1923809712
Nov 2016,real,10,NA
Nov 2016,nominal,10,2.0726228059
Nov 2016,real,1,0.0955153042
Dec 2016,nominal,1,0.2166177489
Dec 2016,real,10,NA
Dec 2016,nominal,10,2.2218982905
Dec 2016,real,1,-0.0085272379
Jan 2017,nominal,1,0.1799801376
Jan 2017,real,10,NA
Jan 2017,nominal,10,2.149851523
Jan 2017,real,1,0.0665752864
Feb 2017,nominal,1,0.1620245288
Feb 2017,real,10,NA
Feb 2017,nominal,10,2.165436447
Feb 2017,real,1,-0.0380874801
Mar 2017,nominal,1,0.1538998187
Mar 2017,real,10,NA
Mar 2017,nominal,10,2.1057280129
Mar 2017,real,1,0.1304734094
Apr 2017,nominal,1,0.1419126461
Apr 2017,real,10,NA
Apr 2017,nominal,10,2.0454238888
Apr 2017,real,1,0.0441934181
May 2017,nominal,1,0.1600671971
May 2017,real,10,0.6551057433
May 2017,nominal,10,2.1559287926
May 2017,real,1,0.0220065998
Jun 2017,nominal,1,0.1267389444
Jun 2017,real,10,0.6965673662
Jun 2017,nominal,10,2.0309072867
Jun 2017,real,1,0.145909704
Jul 2017,nominal,1,0.1067195437
Jul 2017,real,10,0.5839325446
Jul 2017,nominal,10,1.9742549909
Jul 2017,real,1,0.3927706191
Aug 2017,nominal,1,0.0943765788
Aug 2017,real,10,0.3799075071
Aug 2017,nominal,10,1.7447779455
Aug 2017,real,1,0.7332596653
Sep 2017,nominal,1,0.1005556156
Sep 2017,real,10,0.3570905473
Sep 2017,nominal,10,1.7239085717
Sep 2017,real,1,0.7067104466
Oct 2017,nominal,1,0.1066819581
Oct 2017,real,10,0.428688145
Oct 2017,nominal,10,NA
Oct 2017,real,1,0.8825498265
Nov 2017,nominal,1,0.1034963943
Nov 2017,real,10,0.3574417283
Nov 2017,nominal,10,NA
Nov 2017,real,1,NA
Dec 2017,nominal,1,0.1222246642
Dec 2017,real,10,NA
Dec 2017,nominal,10,NA
Dec 2017,real,1,NA
Jan 2018,nominal,1,0.130987343
Jan 2018,real,10,NA
Jan 2018,nominal,10,NA
Jan 2018,real,1,NA
Feb 2018,nominal,1,0.1354745095
Feb 2018,real,10,NA
Feb 2018,nominal,10,NA
Feb 2018,real,1,NA
Mar 2018,nominal,1,0.1372896146
Mar 2018,real,10,NA
Mar 2018,nominal,10,NA
Mar 2018,real,1,NA
Apr 2018,nominal,1,0.1451800257
Apr 2018,real,10,NA
Apr 2018,nominal,10,NA
Apr 2018,real,1,NA
May 2018,nominal,1,0.1817280643
May 2018,real,10,NA
May 2018,nominal,10,NA
May 2018,real,1,-0.787120033
Jun 2018,nominal,1,0.1682927495
Jun 2018,real,10,NA
Jun 2018,nominal,10,NA
Jun 2018,real,1,-0.9642218849
Jul 2018,nominal,1,0.1877685454
Jul 2018,real,10,NA
Jul 2018,nominal,10,2.1814786484
Jul 2018,real,1,-1.0924105958
Aug 2018,nominal,1,0.206872216
Aug 2018,real,10,NA
Aug 2018,nominal,10,2.155330795
Aug 2018,real,1,-1.0696711353
Sep 2018,nominal,1,0.2367658315
Sep 2018,real,10,NA
Sep 2018,nominal,10,2.2093609554
Sep 2018,real,1,-1.0541370423
Oct 2018,nominal,1,0.2513503956
Oct 2018,real,10,NA
Oct 2018,nominal,10,2.288581901
Oct 2018,real,1,-0.8988370938
Nov 2018,nominal,1,0.2664908423
Nov 2018,real,10,NA
Nov 2018,nominal,10,2.342053779
Nov 2018,real,1,-0.9164077252
Dec 2018,nominal,1,0.4785991443
Dec 2018,real,10,NA
Dec 2018,nominal,10,2.3485469291
Dec 2018,real,1,-1.0059074965
Jan 2019,nominal,1,0.4451124292
Jan 2019,real,10,NA
Jan 2019,nominal,10,2.1906325674
Jan 2019,real,1,-1.3526781865
Feb 2019,nominal,1,0.3231257515
Feb 2019,real,10,NA
Feb 2019,nominal,10,2.0306392025
Feb 2019,real,1,-1.705643153
Mar 2019,nominal,1,0.2826932783
Mar 2019,real,10,0.3693894511
Mar 2019,nominal,10,1.9593441079
Mar 2019,real,1,-1.572849825
Apr 2019,nominal,1,0.3250396799
Apr 2019,real,10,0.3393320658
Apr 2019,nominal,10,NA
Apr 2019,real,1,-1.0857745969000001
May 2019,nominal,1,0.3317713109
May 2019,real,10,0.2305279108
May 2019,nominal,10,NA
May 2019,real,1,-0.9081243351
Jun 2019,nominal,1,0.2819548304
Jun 2019,real,10,0.021226475
Jun 2019,nominal,10,NA
Jun 2019,real,1,-1.0585018179
Jul 2019,nominal,1,0.2794714321
Jul 2019,real,10,-0.0771575913
Jul 2019,nominal,10,NA
Jul 2019,real,1,-0.9926952059
Aug 2019,nominal,1,0.2192656334
Aug 2019,real,10,-0.4733203537
Aug 2019,nominal,10,NA
Aug 2019,real,1,-0.8879248353
Sep 2019,nominal,1,0.1775875779
Sep 2019,real,10,-0.4103445938
Sep 2019,nominal,10,NA
Sep 2019,real,1,-0.9249033991
Oct 2019,nominal,1,0.1751219133
Oct 2019,real,10,-0.5658237524
Oct 2019,nominal,10,NA
Oct 2019,real,1,-0.7926339779
Nov 2019,nominal,1,0.1203115336
Nov 2019,real,10,-0.5062159011
Nov 2019,nominal,10,1.0289526428
Nov 2019,real,1,-0.9230355735
Dec 2019,nominal,1,0.1345838527
Dec 2019,real,10,NA
Dec 2019,nominal,10,0.9555701165
Dec 2019,real,1,-0.9140319352
Jan 2020,nominal,1,0.1472674352
Jan 2020,real,10,NA
Jan 2020,nominal,10,0.8913267911
Jan 2020,real,1,-1.4207586823
Feb 2020,nominal,1,0.1446420531
Feb 2020,real,10,NA
Feb 2020,nominal,10,0.7705368125
Feb 2020,real,1,-1.427575461
Mar 2020,nominal,1,0.2167728766
Mar 2020,real,10,NA
Mar 2020,nominal,10,0.9418011623
Mar 2020,real,1,0.7238414773
Apr 2020,nominal,1,0.1183420063
Apr 2020,real,10,NA
Apr 2020,nominal,10,0.8531031927
Apr 2020,real,1,0.6508809214
May 2020,nominal,1,0.0533828745
May 2020,real,10,NA
May 2020,nominal,10,0.7878540689
May 2020,real,1,0.0104701132
Jun 2020,nominal,1,0.0423770012
Jun 2020,real,10,NA
Jun 2020,nominal,10,0.705019582
Jun 2020,real,1,-0.5123025057
Jul 2020,nominal,1,0.0158077667
Jul 2020,real,10,NA
Jul 2020,nominal,10,0.6332795846
Jul 2020,real,1,-0.0965499466
Aug 2020,nominal,1,0.0456040667
Aug 2020,real,10,NA
Aug 2020,nominal,10,0.6540372607
Aug 2020,real,1,-0.0727909902
Sep 2020,nominal,1,0.0552411207
Sep 2020,real,10,NA
Sep 2020,nominal,10,0.6974701226
Sep 2020,real,1,0.081681879600000007
Oct 2020,nominal,1,0.01330592
Oct 2020,real,10,NA
Oct 2020,nominal,10,NA
Oct 2020,real,1,0.5046462485
Nov 2020,nominal,1,0.0679446869
Nov 2020,real,10,NA
Nov 2020,nominal,10,NA
Nov 2020,real,1,0.0547867236
Dec 2020,nominal,1,0.0880795047
Dec 2020,real,10,NA
Dec 2020,nominal,10,NA
Dec 2020,real,1,-0.4838647016
Jan 2021,nominal,1,0.0135072607
Jan 2021,real,10,NA
Jan 2021,nominal,10,NA
Jan 2021,real,1,-1.7252386365
Feb 2021,nominal,1,0.0266410818
Feb 2021,real,10,NA
Feb 2021,nominal,10,NA
Feb 2021,real,1,NA
Mar 2021,nominal,1,0.0290806714
Mar 2021,real,10,NA
Mar 2021,nominal,10,NA
Mar 2021,real,1,NA
Apr 2021,nominal,1,0.0223628044
Apr 2021,real,10,NA
Apr 2021,nominal,10,NA
Apr 2021,real,1,-1.5132635384
May 2021,nominal,1,0.0469543375
May 2021,real,10,-0.604067091
May 2021,nominal,10,NA
May 2021,real,1,-1.807559561
Jun 2021,nominal,1,0.053072242
Jun 2021,real,10,-0.606301321
Jun 2021,nominal,10,NA
Jun 2021,real,1,-2.0571036259
Jul 2021,nominal,1,0.0153396524
Jul 2021,real,10,-0.6418781285
Jul 2021,nominal,10,NA
Jul 2021,real,1,-1.92108849
Aug 2021,nominal,1,0.0060293802
Aug 2021,real,10,-0.7699824647
Aug 2021,nominal,10,NA
Aug 2021,real,1,-1.9438008739
Sep 2021,nominal,1,0.0173144561
Sep 2021,real,10,-0.8808075451
Sep 2021,nominal,10,NA
Sep 2021,real,1,-2.2705058662
Oct 2021,nominal,1,0.0458721263
Oct 2021,real,10,-0.9857405556
Oct 2021,nominal,10,1.44956997
Oct 2021,real,1,-2.5207342676
Nov 2021,nominal,1,0.0372295279
Nov 2021,real,10,-1.1870542755
Nov 2021,nominal,10,1.3438191486
Nov 2021,real,1,-2.6419757868
Dec 2021,nominal,1,8.498925e-4
Dec 2021,real,10,-1.29676103
Dec 2021,nominal,10,1.2067658909
Dec 2021,real,1,-2.6449542236
Jan 2022,nominal,1,0.0315037925
Jan 2022,real,10,-1.2331122655
Jan 2022,nominal,10,1.4291523918
Jan 2022,real,1,-2.9981050136
Feb 2022,nominal,1,0.2919124213
Feb 2022,real,10,-0.7134551555
Feb 2022,nominal,10,1.7569339185
Feb 2022,real,1,-2.7555248045
Mar 2022,nominal,1,0.6285935937
Mar 2022,real,10,-0.5772555426
Mar 2022,nominal,10,2.1109495568
Mar 2022,real,1,-2.9611577355
Apr 2022,nominal,1,0.8341330373
Apr 2022,real,10,-0.3663852186
Apr 2022,nominal,10,2.3610893037
Apr 2022,real,1,-2.1950593511
May 2022,nominal,1,0.8693662341
May 2022,real,10,0.1104094481
May 2022,nominal,10,2.56036716
May 2022,real,1,-1.7847570729
Jun 2022,nominal,1,1.6045460267
Jun 2022,real,10,NA
Jun 2022,nominal,10,2.9701051524
Jun 2022,real,1,-1.647768
Jul 2022,nominal,1,1.6620331671
Jul 2022,real,10,NA
Jul 2022,nominal,10,2.5992456467
Jul 2022,real,1,-1.3986605305
Aug 2022,nominal,1,1.9480314195
Aug 2022,real,10,NA
Aug 2022,nominal,10,2.584616585
Aug 2022,real,1,-1.0453576094
Sep 2022,nominal,1,2.5461263017
Sep 2022,real,10,NA
Sep 2022,nominal,10,3.1035858417
Sep 2022,real,1,-1.0024421482
Oct 2022,nominal,1,2.9830547969
Oct 2022,real,10,NA
Oct 2022,nominal,10,3.3351427327
Oct 2022,real,1,-0.1013919064
Nov 2022,nominal,1,3.1543344338
Nov 2022,real,10,NA
Nov 2022,nominal,10,NA
Nov 2022,real,1,0.2445861763
Dec 2022,nominal,1,3.4126371329
Dec 2022,real,10,NA
Dec 2022,nominal,10,NA
Dec 2022,real,1,0.6603034269
Jan 2023,nominal,1,3.757610577
Jan 2023,real,10,NA
Jan 2023,nominal,10,NA
Jan 2023,real,1,0.9866529584
Feb 2023,nominal,1,4.1016277636
Feb 2023,real,10,NA
Feb 2023,nominal,10,NA
Feb 2023,real,1,0.8224117176
Mar 2023,nominal,1,4.3686380382
Mar 2023,real,10,NA
Mar 2023,nominal,10,NA
Mar 2023,real,1,1.0942246475
Apr 2023,nominal,1,4.3224648616
Apr 2023,real,10,NA
Apr 2023,nominal,10,NA
Apr 2023,real,1,1.3965488275
May 2023,nominal,1,4.3527829586
May 2023,real,10,NA
May 2023,nominal,10,NA
May 2023,real,1,1.7112328789
Jun 2023,nominal,1,4.3930676542
Jun 2023,real,10,NA
Jun 2023,nominal,10,NA
Jun 2023,real,1,1.7453704562
Jul 2023,nominal,1,4.4267455886
Jul 2023,real,10,NA
Jul 2023,nominal,10,NA
Jul 2023,real,1,2.0419799146
Aug 2023,nominal,1,4.505196692
Aug 2023,real,10,NA
Aug 2023,nominal,10,NA
Aug 2023,real,1,2.1843910712
Sep 2023,nominal,1,4.4361799011
Sep 2023,real,10,NA
Sep 2023,nominal,10,NA
Sep 2023,real,1,2.0082396619
Oct 2023,nominal,1,4.0889285053
Oct 2023,real,10,NA
Oct 2023,nominal,10,NA
Oct 2023,real,1,1.7280248974
Nov 2023,nominal,1,3.8873978447
Nov 2023,real,10,NA
Nov 2023,nominal,10,NA
Nov 2023,real,1,1.3619793545
Dec 2023,nominal,1,3.8144080921
Dec 2023,real,10,NA
Dec 2023,nominal,10,NA
Dec 2023,real,1,0.6098593417
Jan 2024,nominal,1,3.7993010106
Jan 2024,real,10,NA
Jan 2024,nominal,10,NA
Jan 2024,real,1,-0.3960613582
Feb 2024,nominal,1,3.734768452
Feb 2024,real,10,NA
Feb 2024,nominal,10,NA
Feb 2024,real,1,NA
